NOMBRE DEL PLATILLO|ORIGEN|RENDIMIENTO (PERSONAS)|PREPARACIÓN (MIN)|COCCIÓN (MIN)|REPOSO (MIN)|REFRIGERACIÓN (MIN)|CONGELACIÓN (MIN)|DIFICULTAD|COSTO|INGREDIENTES|TIPO|Epoca|Categoría 
SALPICON DE RABANITOS|YUCATAN|8|5|0|120|0|0|1|1|RABANO, CEBOLLA, CILANTRO, CHILE HABANERO, NARANJA, VINAGRE DE MANZANA, SAL|ESPECIALIDADES YUCATECAS|Conquista y Virreinato (1521 – 1821)|Ensaladas
SALPICON DE RES|CHIHUAHUA|8|20|120|0|0|0|1|2|RES, ZANAHORIA, CEBOLLA, APIO, LAUREL, AJO, PIMIENTA, VINAGRE DE MANZANA, ACEITE DE OLIVA, OREGANO, CEBOLLA, CHILE JALAPEÑO, LECHUGA, SAL, PIMIENTA, AGUACATE, JITOMATE, RABANO, QUESO COTIJA, TOSTADA DE MAIZ|PLATOS PRINCIPALES CON CARNE ROJA|Conquista y Virreinato (1521 – 1821)|Carnes
SALSA AZABACHE|JALISCO|8|90|10|0|0|0|1|1|CHILE PASILLA, CHILE MULATO, CEBOLLA, AJO, CALDO DE POLLO, ACEITE, SAL|SALSAS DE CHILES SECOS|México Contemporáneo (1940 - Actualidad)|Salsas y aderezos
SALSA BORRACHA|GUANAJUATO|8|15|15|0|0|0|1|1|CHILE PASILLA, AJO, CEBOLLA, PULQUE, AGUA, NARANJA, QUESO COTIJA, SAL|SALSAS DE TOMATE Y JITOMATE|Conquista y Virreinato (1521 – 1821)|Salsas y aderezos
SALSA DE AJO|OAXACA|4|15|10|0|0|0|2|1|CHILE COSTEÑO, CERDO, JITOMATE, AJO, SAL|SALSAS REGIONALES|México Prehispánico (Antes de 1521)|Salsas y aderezos
SALSA DE CHILE MORITA|CHIHUAHUA|8|20|10|0|0|0|1|1|CHILE MORITA, AJO, JITOMATE, CEBOLLA, PIÑA, VINAGRE DE MANZANA, ACEITE, CANELA, PIMIENTA, PILONCILLO, SAL|SALSAS DE TOMATE Y JITOMATE|México Prehispánico (Antes de 1521)|Salsas y aderezos
SALSA DE CHILE PIQUIN|SAN LUIS POTOSI, QUERETARO|6|15|20|0|0|0|1|1|CHILE PIQUIN, JITOMATE, TOMATE VERDE, CILANTRO, SAL|SALSAS REGIONALES|México Prehispánico (Antes de 1521)|Salsas y aderezos
SALSA DE CIRUELAS|GUERRERO|6|5|20|0|0|0|1|2|CHILE DE ARBOL, AJO, CIRUELA, EPAZOTE, SAL|SALSAS REGIONALES|Conquista y Virreinato (1521 – 1821)|Salsas y aderezos
SALSA DE COYUL|OAXACA|8|5|8|0|0|0|1|1|COYUL, CHILE COSTEÑO, AJO, SAL|SALSAS REGIONALES|México Prehispánico (Antes de 1521)|Salsas y aderezos
SALSA DE FLOR DE GUAJE|MICHOACAN|8|5|15|0|0|0|1|1|CHILE SERRANO, JITOMATE, GUAJE, CILANTRO, SAL|SALSAS REGIONALES|México Prehispánico (Antes de 1521)|Salsas y aderezos
SALSA DE NUEZ Y CHILE PIQUIN|SAN LUIS POTOSI, QUERETARO|12|10|0|0|0|0|1|1|NUEZ, CHILE PIQUIN, SAL|SALSAS REGIONALES|Conquista y Virreinato (1521 – 1821)|Salsas y aderezos
SALSA DE PASILLA, AJONJOLI, E HIGO|JALISCO|8|10|30|0|0|0|1|1|CHILE PASILLA, AJO, VINAGRE, AZUCAR, AJONJOLI, ALMIBAR, SAL|SALSAS DE TOMATE Y JITOMATE|Conquista y Virreinato (1521 – 1821)|Salsas y aderezos
SALSA DE TAMARINDO|GUERRERO|6|10|15|0|0|0|1|1|CHILE DE ARBOL, TAMARINDO, AJO, EPAZOTE, SAL|SALSAS REGIONALES|Conquista y Virreinato (1521 – 1821)|Salsas y aderezos
SALSA DE TOMATE Y JITOMATE|ESTADO DE MEXICO|8|10|15|0|0|0|1|1|CHILE CASCABEL, CHILE ANCHO, TOMATE VERDE, JITOMATE, CEBOLLA, AJO, PILONCILLO, SAL|SALSAS DE CHILES SECOS|México Prehispánico (Antes de 1521)|Salsas y aderezos
SALSA DE TOMATILLOS SILVESTRES|CHIAPAS|8|10|8|0|0|0|2|1|CERDO, TOMATILLO, CEBOLLA, CHILITOS ROJOS, SAL|SALSAS REGIONALES|México Prehispánico (Antes de 1521)|Salsas y aderezos
SALSA DE XOCONOSTLE|ESTADO DE MEXICO|4|15|0|0|0|0|1|1|XOCONOSTLE, CEBOLLA, CHILE JALAPEÑO, MEJORANA, SAL|SALSAS REGIONALES|México Prehispánico (Antes de 1521)|Salsas y aderezos
SALSA MACHA|VERACRUZ|2|5|20|0|0|0|1|1|CHILE SERRANO, ACEITE, SAL|SALSAS DE CHILES SECOS|Conquista y Virreinato (1521 – 1821)|Salsas y aderezos
