NOMBRE DEL PLATILLO|ORIGEN|RENDIMIENTO (PERSONAS)|PREPARACIÓN (MIN)|COCCIÓN (MIN)|REPOSO (MIN)|REFRIGERACIÓN (MIN)|CONGELACIÓN (MIN)|DIFICULTAD|COSTO|INGREDIENTES|TIPO|Epoca|Categoría 
ABULON CON PICO DE GALLO DE MANDARINA|BAJA CALIFORNIA SUR|2|4|3|0|0|0|2|3|ABULON, PICO DE GALLO, MANDARINA, CHILE SERRANO|ENTRADA|México Contemporáneo (1940 - Actualidad)|Pescados y mariscos
ADEREZO A LAS HIERBAS|YUCATAN|4|5|0|0|0|0|1|1|LIMON, ACEITE DE OLIVA, YOGUR, CILANTRO, ALBAHACA, PEREJIL, SAL|VINAGRETAS Y ADEREZOS|México Contemporáneo (1940 - Actualidad)|Salsas y aderezos
ADEREZO CON CHILES CUARESMEÑOS|JALISCO|4|5|0|0|0|0|1|1|LIMON, ACEITE DE OLIVA, YOGUR, CHILE CUARESMEÑO, CILANTRO, SAL, PIMIENTA|VINAGRETAS Y ADEREZOS|México Contemporáneo (1940 - Actualidad)|Salsas y aderezos
ADEREZO DE PIÑA|VERACRUZ|4|5|0|0|0|0|1|1|LIMON, ACEITE DE OLIVA, YOGUR, PIÑA, CEBOLLIN, SAL, PIMIENTA|VINAGRETAS Y ADEREZOS|México Contemporáneo (1940 - Actualidad)|Salsas y aderezos
ADOBO|GUERRERO|8|10|30|0|0|0|3|2|CHILE ANCHO, CHILE GUAJILLO, AJO, CEBOLLA, VINAGRE DE YEMA, PIMIENTA, CANELA, OREGANO, SAL, ACEITE|MOLE DE ADOBO|Conquista y Virreinato (1521 – 1821)|Moles y adobos
ADOBO DE CREMA DE GUERRERO|GUERRERO|12|5|0|0|0|0|1|1|CHILE CHILACA, AJO, TOMATE VERDE, COMINO, CREMA, SAL|MOLE DE ADOBO|Conquista y Virreinato (1521 – 1821)|Moles y adobos
ADOBO HIDALGUENSE|HIDALGO|8|5|5|0|0|0|1|1|CHILE MORITA, CEBOLLA, VINAGRE BLANCO, LAUREL, MEJORANA, TOMILLO, SAL, ACEITE|MOLE DE ADOBO|Conquista y Virreinato (1521 – 1821)|Moles y adobos
ADOBO QUERETANO|QUERETARO|8|5|5|0|0|0|1|1|CHILE ANCHO, CHILE CASCABEL, CEBOLLA, CHILE POBLANO, TOMATE VERDE, PIMIENTA, OREGANO, SAL, ACEITE|MOLE DE ADOBO|Conquista y Virreinato (1521 – 1821)|Moles y adobos
AGUA DE CHILE|CHIAPAS|4|5|0|0|0|0|1|1|CHILE BLANCO, AGUA, HIERBABUENA, LIMON, SAL|SALSAS REGIONALES|México Prehispánico (Antes de 1521)|Bebidas
AGUA DE LIMON, CHAYA Y CHIA|GUANAJUATO|10|15|0|120|0|0|1|1|CHIA, AGUA, CHAYA, LIMON, AZUCAR|BEBIDAS|México Contemporáneo (1940 - Actualidad)|Bebidas
AGUA FRESCA CON ALMENDRA DE MAMEY|PUEBLA|32|25|0|0|0|0|1|1|MAMEY, AGUA, AZUCAR|BEBIDAS|México Contemporáneo (1940 - Actualidad)|Bebidas
AGUACATES RELLENOS DE VERDURAS|MICHOACAN|10|15|0|0|0|0|2|2|AGUACATE, LIMON, QUESO PANELA, CHICHARO, JITOMATE, MAYONESA, LECHUGA, SAL, PIMIENTA|ENTRADA|México Contemporáneo (1940 - Actualidad)|Entrées
ALBONDIGAS CON CHICHARRON|ESTADO DE MEXICO|8|20|45|15|0|0|2|1|CHICHARRON, CARNE MOLIDA, HUEVO, CILANTRO, AJO, CEBOLLA, HIERBABUENA, PIMIENTA, JITOMATE, CHILE CHIPOTLE, ACEITE, ARROZ, SAL|PLATOS PRINCIPALES CON CARNE ROJA|Conquista y Virreinato (1521 – 1821)|Carnes
ALBONDIGAS DE PESCADO|BAJA CALIFORNIA SUR|5|20|30|0|0|0|1|2|ATUN, PESCADO, ARROZ, HUEVO, AMARANTO, AJO, OREGANO, CILANTRO, HIERBABUENA, PIMIENTO MORRON, CALDO DE PESCADO, SAL, PIMIENTA|PLATOS PRINCIPALES CON PESCADOS Y MARISCOS|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos
ALCACHOFAS GRATINADAS AL CHIPOTLE|ESTADO DE MEXICO|8|15|25|0|0|0|3|2|ALCACHOFA, MANTEQUILLA, LIMON, ACEITE, CEBOLLA, OSTION, CREMA, CHILE CHIPOTLE, QUESO GRUYERE, SAL, CEBOLLIN|ENTRADA|México Contemporáneo (1940 - Actualidad)|Vegetariano
ALEGRIAS|CIUDAD DE MEXICO|34|30|15|0|0|0|2|2|PILONCILLO, MIEL, LIMON, AMARANTO, PASA, NUEZ|DULCES Y POSTRES|México Prehispánico (Antes de 1521)|Dulces y postres
ANCAS DE RANA AL TEQUILA|GUANAJUATO|4|20|30|480|0|0|2|3|TEQUILA, LAUREL, TOMILLO, MEJORANA, AJO, RANA, MANTEQUILLA, ACEITE DE OLIVA, CEBOLLA, JITOMATE, TOMATE, CHILE SERRANO, CHAYOTE, ZANAHORIA, CALABAZA, PAPA, SAL, PIMIENTA|PLATOS PRINCIPALES CON OTRAS CARNES|México Contemporáneo (1940 - Actualidad)|Exóticos
ANTE DE LECHE QUEMADA|JALISCO|10|45|20|0|0|0|2|3|JEREZ, PASA, ACITRON, BIZCOCHO, LECHE, CAJETA DE LECHE, NUEZ, PIÑON|DULCES Y POSTRES|Conquista y Virreinato (1521 – 1821)|Dulces y postres
AREQUIPA DE PIÑA Y ALMENDRAS|MICHOACAN|8|10|45|0|0|0|1|2|HARINA DE ARROZ, LECHE, PIÑA, ALMENDRA, AZUCAR, ALMENDRA|DULCES Y POSTRES|Conquista y Virreinato (1521 – 1821)|Dulces y postres
ARRACHERA CON SALSA DE GUAJES|DURANGO|6|10|20|180|0|0|1|2|GUAJE, XOCONOSTLE, CHILE SERRANO, JITOMATE, SAL, ARRACHERA, ACEITE DE CHILE, PIÑA, NOPAL, CEBOLLA, ACEITE DE OLIVA, OREGANO, CHORIZO VERDE, CHORIZO, AGUACATE, SAL, TORTILLA DE HARINA|PLATOS PRINCIPALES CON CARNE ROJA|Revolución Mexicana (1910 - 1940)|Carnes
ARROCES MEXICANOS: BLANCO, VERDE Y ROJO|VERACRUZ|10|10|20|30|0|0|2|1|ARROZ, ACEITE, CALDO DE POLLO, SAL, AJO, CEBOLLA, CHILE CUARESMEÑO, PEREJIL, CILANTRO, CHILE POBLANO, JITOMATE, ZANAHORIA, CHICHARO|GUARNICIONES|Conquista y Virreinato (1521 – 1821)|Arroces
ARROZ A LA TUMBADA|VERACRUZ|8|20|100|15|0|0|3|3|ARROZ, ROBALO, CEBOLLA, AJO, TOMILLO, MEJORANA, ACEITE DE OLIVA, JITOMATE, CAMARON, LANGOSTINO, JAIBA, PULPO, ALMEJA, CHILE JALAPEÑO, EPAZOTE, SAL, PIMIENTA|PLATOS PRINCIPALES CON PESCADOS Y MARISCOS|Conquista y Virreinato (1521 – 1821)|Arroces
ARROZ CON LECHE Y FRUTA|CIUDAD DE MEXICO|8|20|50|0|0|0|1|1|ARROZ, LECHE, VAINILLA, AZUCAR, HUEVO, CREMA, AZUCAR, FRUTA EN ALMIBAR|DULCES Y POSTRES|Conquista y Virreinato (1521 – 1821)|Dulces y postres
ASADO DE BODA|DURANGO|4|20|90|15|0|0|2|2|CERDO, CEBOLLA, AJO, CERDO, CHILE ANCHO, TOMATE VERDE, BOLILLO, TORTILLA DE MAIZ, COMINO, CHOCOLATE, LAUREL, OREGANO, NARANJA, SAL|PLATOS PRINCIPALES CON CARNE ROJA|Conquista y Virreinato (1521 – 1821)|Carnes
ASADO DE BODA JEREZANO|ZACATECAS|8|120|60|0|0|0|2|2|ACEITE, CERDO, CHILE ANCHO, PIMIENTA, CLAVO, CANELA, NARANJA, LAUREL, BAGUETTE, CALDO DE CERDO, CHOCOLATE, PILONCILLO, CEBOLLA, SAL, TORTILLA DE MAIZ|PLATOS PRINCIPALES CON CARNE ROJA|Conquista y Virreinato (1521 – 1821)|Carnes
ASADO DE CERDO AL TEQUILA|TAMAULIPAS|8|15|70|0|0|0|1|3|CHILE CASCABEL, COMINO, OREGANO, AJO, CEBOLLA, CERDO, TEQUILA, SAL, ARROZ, FRIJOL, TORTILLA DE MAIZ|PLATOS PRINCIPALES CON CARNE ROJA|México Contemporáneo (1940 - Actualidad)|Carnes
ASADO DE RES CON COSTRA|CIUDAD DE MEXICO|6|20|45|1440|0|0|2|2|PIMIENTA, AJO, CEBOLLA, MANTECA, VINAGRE DE VINO TINTO, RES, ROMERO, GERMEN DE TRIGO, CACAHUATE, CHILE SECO, HUEVO, CALDO DE RES, SAL, PIMIENTA|PLATOS PRINCIPALES CON CARNE ROJA|Conquista y Virreinato (1521 – 1821)|Carnes
ATAPAKUA|MICHOACAN|10|40|35|0|0|0|3|3|CHILE GUAJILLO, CHILE ANCHO, CHILE SERRANO, CEBOLLA, AJO, JITOMATE, CILANTRO, HIERBABUENA, AGUA, CERDO, MASA DE MAIZ, ELOTE, SAL|MOLE ESPESADO CON MAIZ|México Prehispánico (Antes de 1521)|Sopas y caldos
ATE DE GUAYABA|CIUDAD DE MEXICO|20|10|120|1440|0|0|2|2|GUAYABA, MANZANA, AZUCAR, LIMON|DULCES Y POSTRES|Conquista y Virreinato (1521 – 1821)|Dulces y postres
ATOLE DE AVENA|CIUDAD DE MEXICO|16|10|30|20|0|0|1|1|AVENA, AGUA, CANELA, LECHE, AZUCAR|BEBIDAS|Influencia europea / Porfiriato (1821 - 1910)|Bebidas
ATOLE DE CHAYA|YUCATAN|16|5|10|0|0|0|1|1|LECHE, MAIZ, CHAYA, AZUCAR|BEBIDAS|México Prehispánico (Antes de 1521)|Bebidas
ATOLE DE ELOTE CON MANTEQUILLA|MICHOACÁN|16|5|20|0|0|0|1|1|LECHE, AZUCAR, ELOTE, MANTEQUILLA|BEBIDAS|Conquista y Virreinato (1521 – 1821)|Bebidas
ATOLE DE FRIJOL|SINALOA|12|25|45|0|0|0|1|1|AGUA, AZUCAR, CANELA, PIMIENTA, CLAVO, ANIS, GUAYABA, MAIZ, FRIJOL|BEBIDAS|México Prehispánico (Antes de 1521)|Bebidas
ATOLE DE GUAMUCHIL|SINALOA|8|10|25|0|0|0|1|1|GUAMUCHIL, AGUA, CANELA, SAL, PILONCILLO, HARINA DE TRIGO|BEBIDAS|México Prehispánico (Antes de 1521)|Bebidas
ATOLE DE PAPA EXTRANJERA|VERACRUZ|12|10|60|0|0|0|1|1|PAPA, AGUA, CANELA, AZUCAR|BEBIDAS|Conquista y Virreinato (1521 – 1821)|Bebidas
ATOLE NEGRO PUREPECHA|MICHOACAN|36|20|45|0|0|0|2|1|ELOTE, AGUA, PILONCILLO, CANELA, MAIZ|BEBIDAS|México Prehispánico (Antes de 1521)|Bebidas
ATUN EN COSTRA AL CHIPOTLE|BAJA CALIFORNIA|2|40|4|0|0|0|2|3|AJONJOLI, CHILE CHIPOTLE, CILANTRO, HIERBAS SECAS, ATUN, ACEITE, MIEL DE XOCONOSTLE, TLACOYO, SAL, PIMIENTA, ENSALADA|PLATOS PRINCIPALES CON PESCADOS Y MARISCOS|México Contemporáneo (1940 - Actualidad)|Pescados y mariscos
AYOMOLE DE GUERRERO|GUERRERO|16|20|35|0|0|0|1|2|CALDO DE POLLO, AJO, CEBOLLA, CALABAZA, CHILE GUAJILLO, EPAZOTE, SAL|MOLE DE INGREDIENTES FRESCOS|Conquista y Virreinato (1521 – 1821)|Moles y adobos
BACALAO A LA MEXICANA|PUEBLA|10|25|60|2160|0|0|2|3|BACALAO, ACEITE DE OLIVA, CEBOLLA, AJO, PEREJIL, JITOMATE, ACEITUNA, ALCAPARRA, ALMENDRA, PASA, PAPA, PIMIENTO MORRON, CHILE GUERO, SAL|PLATOS PRINCIPALES CON PESCADOS Y MARISCOS|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos
BAGRE EN SALSA DE CIRUELAS|MORELOS|6|15|20|0|0|0|1|2|SALSA DE CIRUELAS, BAGRE, ARROZ|PLATOS PRINCIPALES CON PESCADOS Y MARISCOS|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos
BARBACOA DE CORDERO (DE HIDALGO)|TLAXCALA|25|30|240|0|0|0|3|3|MAGUEY, PULQUE, GARBANZO, ZANAHORIA, LAUREL, AJO, TOMATE VERDE, SAL, PIMIENTA, CEBOLLA, CHILE SERRANO, CORDERO, AGUACATE, MAIZ, SALSA BORRACHA|PLATOS PRINCIPALES CON CARNE ROJA|Conquista y Virreinato (1521 – 1821)|Carnes
BARBACOA DE POLLO|GUERRERO|10|40|45|20|0|0|2|2|CHILE SERRANO, TOMATE VERDE, CILANTRO, SAL, CHILE ANCHO, CHILE GUAJILLO, PIMIENTA, COMINO, CANELA, OREGANO, AJO, ACEITE DE MAIZ, POLLO, AGUACATE, PLATANO, TORTILLA DE MAIZ, LIMA, RABANO, LECHUGA, CEBOLLA|PLATOS PRINCIPALES CON POLLO|Conquista y Virreinato (1521 – 1821)|Aves
BARBACOA DE RES EN MIXIOTE|CHIHUAHUA|12|30|180|0|0|0|2|2|CHILE CHIPOTLE, CHILE ANCHO, AJO, COMINO, PIMIENTA, CLAVO, CANELA, OREGANO, TOMILLO, LAUREL, VINAGRE BLANCO, RES, SAL, AGUACATE, LECHUGA, SALSA VERDE|PLATOS PRINCIPALES CON CARNE ROJA|Conquista y Virreinato (1521 – 1821)|Carnes
BATARETE YAQUI|SONORA|8|5|15|0|0|0|1|1|PILONCILLO, PINOLE, QUESO AÑEJO|DULCES Y POSTRES|México Prehispánico (Antes de 1521)|Platos fuertes
BERENJENAS RELLENAS DE MANZANA|SINALOA|3|15|30|0|0|0|2|2|BERENJENA, MANZANA VERDE, ACEITE DE OLIVA, CEBOLLA, AJO, APIO, GERMEN DE TRIGO, HIERBABUENA, COMINO, NUEZ MOSCADA, MANTEQUILLA, QUESO BLANCO, JITOMATE, SAL, PIMIENTA|PLATOS PRINCIPALES CON VERDURAS|Conquista y Virreinato (1521 – 1821)|Entrées
BIZCOCHO|PUEBLA|8|25|35|0|0|0|2|2|HUEVO, AZUCAR, CANELA, HARINA DE TRIGO, MANTEQUILLA|PANES Y GALLETAS|Conquista y Virreinato (1521 – 1821)|Panes y masas
BOLILLO|CIUDAD DE MEXICO|40|45|15|45|0|0|2|1|MASA MADRE, MASA FRESCA, MANTECA|PANES Y GALLETAS|Influencia europea / Porfiriato (1821 - 1910)|Panes y masas
BOMBIN DE XOCONOSTLE|HIDALGO|8|15|15|0|0|15|2|3|VINO BLANCO, AZUCAR, CANELA, CLAVO, XOCONOSTLE, AGUA, VAINILLA|DULCES Y POSTRES|México Contemporáneo (1940 - Actualidad)|Dulces y postres
BROCHETAS DE VERDURAS|GUANAJUATO|6|20|12|60|0|0|1|1|SAL, PIMIENTA, JENJBRE, VINAGRE DE FRUTA, ACEITE DE OLIVA, BETABEL, NABO, CALABAZA, JITOMATE, NOPAL, EJOTE, OREGANO, MAYONESA|PLATOS PRINCIPALES CON VERDURAS|México Contemporáneo (1940 - Actualidad)|Vegetariano
BUÑUELOS DE RODILLA|QUERETARO|10|40|30|30|0|0|2|1|HARINA DE TRIGO, ACEITE, SAL, VAINILLA, AZUCAR|PANES Y GALLETAS|Conquista y Virreinato (1521 – 1821)|Dulces y postres
BURROS DE CHILE COLORADO|SONORA|6|20|20|0|0|0|1|1|CARNE SECA, CHILE COLORADO, ACEITE, TRIGO, AJO, VINAGRE BLANCO, COMINO, OREGANO, AZUCAR, TORTILLA DE HARINA|ANTOJITOS CON TRIGO|Revolución Mexicana (1910 - 1940)|Antojitos
CABELLOS DE ANGEL|SAN LUIS POTOSI|8|25|80|2880|0|0|2|2|CHILACAYOTE, CAL, AZUCAR, LIMON, PIÑON|DULCES Y POSTRES|Conquista y Virreinato (1521 – 1821)|Dulces y postres
CABRITO NORTEÑO|NUEVO LEÓN|8|30|75|120|0|0|1|3|CABRITO, AJO, OREGANO, CHILE ANCHO, ACEITE, CEBOLLA, SAL|PLATOS PRINCIPALES CON CARNE ROJA|Conquista y Virreinato (1521 – 1821)|Carnes
CAJETA DE GUAYABAS Y ALMENDRAS|MICHOACÁN|20|15|50|0|0|0|1|2|GUAYABA, LECHE, AZUCAR, ALMENDRA, PASA|DULCES Y POSTRES|Conquista y Virreinato (1521 – 1821)|Dulces y postres
CAJETA DE LECHE QUEMADA|PUEBLA|24|45|45|0|0|0|1|1|LECHE, AZUCAR, BICARBONATO DE SODIO, OBLEA|DULCES Y POSTRES|Conquista y Virreinato (1521 – 1821)|Dulces y postres
CALABACITAS RELLENAS|TAMAULIPAS|5|15|40|0|0|0|1|1|ZANAHORIA, PAPA, ACEITE, RES, CEBOLLA, AJO, CHILE SERRANO, JITOMATE, SAL, PIMIENTA, QUESO BLANCO, TOCINO, MANTEQUILLA|PLATOS PRINCIPALES CON VERDURAS|Conquista y Virreinato (1521 – 1821)|Vegetariano
CALAMARES A LA VERACRUZANA|VERACRUZ|4|10|40|0|0|0|1|2|LAUREL, CALAMAR, ACEITE, AJO, CEBOLLA, JITOMATE, ACEITUNA, ALCAPARRA, PIMIENTA, SAL|PLATOS PRINCIPALES CON PESCADOS Y MARISCOS|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos
CALDILLO DE FRIJOL|CHIHUAHUA|4|15|20|0|0|0|2|1|ACEITE, CHORIZO, CEBOLLA, FRIJOL, AGUACATE, SAL|SOPA|México Prehispánico (Antes de 1521)|Sopas y caldos
CALDILLO NORTEÑO|CHIHUAHUA|4|40|40|0|0|0|1|2|ACEITE DE MAIZ, RES, CEBOLLA, AJO, JITOMATE, CHILE POBLANO, EJOTE, CALABAZA, PAPA, PAN, SAL, PIMIENTA|PLATOS PRINCIPALES CON CARNE ROJA|Revolución Mexicana (1910 - 1940)|Sopas y caldos
CALDO DE AROMAS|YUCATAN|28|15|180|0|0|0|1|1|TERNERA, POLLO, SAL, CEBOLLA, AJO, PIMIENTA, OREGANO, CANELA, CLAVO, ANIS, LIMA|SOPA|Conquista y Virreinato (1521 – 1821)|Sopas y caldos
CALDO DE HONGOS|ESTADO DE MEXICO|6|15|25|0|0|0|1|2|HONGO, ACEITE DE OLIVA, AJO, CEBOLLA, PEREJIL, EPAZOTE, CHILE VERDE, CALDO DE POLLO, SAL|SOPA|México Prehispánico (Antes de 1521)|Sopas y caldos
CALDO DE OSO|CHIHUAHUA|6|20|40|0|0|0|2|2|MANTEQUILLA, AJO, CEBOLLA, JITOMATE, ZANAHORIA, PAPA, BAGRE, TOMILLO, MEJORANA, LAUREL, CILANTRO, SAL, LIMON|PLATOS PRINCIPALES CON PESCADOS Y MARISCOS|Conquista y Virreinato (1521 – 1821)|Sopas y caldos
CALDO MICHI|JALISCO|8|10|20|0|0|0|2|2|JITOMATE, CEBOLLA, CHILE SERRANO, OREGANO, CILANTRO, ALBAHACA, LAUREL, AJO, BAGRE, PERONES, SAL, LIMON|PLATOS PRINCIPALES CON PESCADOS Y MARISCOS|Conquista y Virreinato (1521 – 1821)|Sopas y caldos
CALDO TLALPEÑO|CIUDAD DE MEXICO|8|15|45|0|0|0|2|2|CALDO DE POLLO, POLLO, ZANAHORIA, ACEITE, AJO, CEBOLLA, JITOMATE, EPAZOTE, CILANTRO, HIERBABUENA, GARBANZO|PLATOS PRINCIPALES CON POLLO|Conquista y Virreinato (1521 – 1821)|Sopas y caldos
CALLOS DE ALMEJA EN VERDE|BAJA CALIFORNIA|5|25|5|0|0|0|1|3|ALMEJA, TOMATE VERDE, APIO, CEBOLLA, CHILE SERRANO, HIERBABUENA, ACEITE, AGUACATE, SAL|ENTRADA|México Prehispánico (Antes de 1521)|Pescados y mariscos
CAMARONES ADOBADOS|VERACRUZ|6|15|25|0|0|0|2|3|ACEITE DE MAIZ, CEBOLLA, AJO, CHILE ANCHO, CHILE GUAJILLO, COMINO, VINAGRE DE MANZANA, CAMARON, LECHUGA, JITOMATE, TOSTADA, SAL, PIMIENTA|ENTRADA|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos
CAMARONES AL MEZCAL|GUERRERO|6|15|25|0|0|0|2|3|XOCONOSTLE, AZUCAR, AJO, CHILE CHIPOTLE, JITOMATE, SANGRITA, SAL, PIMIENTA, LIMON, CAMARON, ACEITE DE OLIVA, MEZCAL, ACEITE DE OLIVA, CEBOLLA, ROMERITOS|ENTRADA|México Contemporáneo (1940 - Actualidad)|Pescados y mariscos
CAPIROTADA|MICHOACAN|8|25|50|0|0|0|2|1|PILONCILLO, ANIS, CANELA, LIMON, BOLILLO, QUESO ADOBERA, PASA|DULCES Y POSTRES|Conquista y Virreinato (1521 – 1821)|Dulces y postres
CARNE A LA TAMPIQUEÑA|CIUDAD DE MEXICO|6|45|40|0|0|0|2|3|CERDO, CEBOLLA, CHILE POBLANO, SALSA PARA ENCHILADAS, TORTILLA DE MAIZ, QUESO DE HEBRA, RES, QUESO AÑEJO, ACEITE, SAL, PIMIENTA|PLATOS PRINCIPALES CON CARNE ROJA|Revolución Mexicana (1910 - 1940)|Carnes
CARNITAS|TLAXCALA|4|20|90|0|0|0|1|2|CERDO, NARANJA, TOMILLO, MEJORANA, SAL, CERDO, TORTILLA DE MAIZ, GUACAMOLE, SALSA BORRACHA, SALSA DE TOMATE CRUDA|PLATOS PRINCIPALES CON CARNE ROJA|Conquista y Virreinato (1521 – 1821)|Carnes
CAZUELA DE FIDEOS Y HUEVOS |YUCATAN|6|15|25|0|0|0|2|2|HUEVO, CEBOLLIN, ACEITE, CEBOLLA, CHILE GUERO, AJO, JITOMATE, ACHIOTE, NARANJA, AGUA, FIDEO, SAL|SOPA|Conquista y Virreinato (1521 – 1821)|Sopas y caldos
CEBOLLA CURADA PARA PIBILES|YUCATAN|4|5|0|120|0|0|1|1|CEBOLLA, CHILE HABANERO, NARANJA, SAL|ESPECIALIDADES YUCATECAS|Conquista y Virreinato (1521 – 1821)|Encurtidos
CEVICHE DE CALLOS DE ALMEJA GARRA DE LEON|BAJA CALIFORNIA|6|15|0|120|0|0|2|3|ALMEJA GARRA DE LEON, NARANJA, LIMON, ACEITUNA VERDE, CHILE POBLANO, ACEITE DE OLIVA, TEQUILA, CEBOLLA, ELOTE, SAL, PIMIENTA|ENTRADA|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos
CEVICHE EN AGUACATE|MICHOACAN|6|20|0|180|1|0|1|1|LIMON, PESCADO, JITOMATE, CEBOLLA, ACEITE DE OLIVA, CHILE EN VINAGRE, AGUACATE, TORONJA, NARANJA, CILANTRO, SAL|ENTRADA|México Contemporáneo (1940 - Actualidad)|Pescados y mariscos
CHALUPAS|TLAXCALA|8|15|35|0|0|0|2|2|ACEITE, CHORIZO, PAPA, CHALUPA, TOMATILLO SILVESTRE, CHILE CRIOLLO, QUESO, CEBOLLA, AGUACATE|ANTOJITOS CON MAIZ|México Prehispánico (Antes de 1521)|Antojitos
CHALUPITAS CON GUSANOS DE MAGUEY|HIDALGO|8|5|20|0|0|0|2|3|MANTEQUILLA, ACEITE, GUSANO DE MAGUEY, CHALUPITA, SALSA BORRACHA, TOMATE, JITOMATE|ANTOJITOS CON MAIZ|México Prehispánico (Antes de 1521)|Exóticos
CHAMPURRADO|CIUDAD DE MEXICO|8|5|25|0|0|0|2|1|AGUA, CANELA, PILONCILLO, CHOCOLATE DE METATE, MAIZ|BEBIDAS|Conquista y Virreinato (1521 – 1821)|Bebidas
CHICHARRON EN SALSA VERDE CON CHORIZO|CIUDAD DE MEXICO|8|15|30|0|0|0|2|2|TOMATE VERDE, CHILE SERRANO, CHILE GUAJILLO, CILANTRO, CHORIZO, CERDO, CEBOLLA, CHICHARRON, SAL, ARROZ|PLATOS PRINCIPALES CON CARNE ROJA|Conquista y Virreinato (1521 – 1821)|Platos fuertes
CHICHILO ROJO|OAXACA|6|90|80|0|0|0|3|3|CHILE ANCHO, CHILE CHILHUACLE, JITOMATE, MILTOMATE, AJO, TORTILLA, CLAVO, PIMIENTA, COMINO, CALDO DE RES, CERDO, AGUACATE, SAL, CALABAZA, CHAYOTE, EJOTE, MASA DE MAIZ, HARINA DE TRIGO, CHILE DE AGUA, LIMON, CEBOLLA, RES, ACEITE, CILANTRO|MOLE DE CHILES SECOS|Conquista y Virreinato (1521 – 1821)|Moles y adobos
CHILAKIL DEL SURESTE|CHIAPAS|8|5|0|0|0|0|1|1|CHILE GUAJILLO, AJO, CLAVO, PIMIENTA, OREGANO, ACHIOTE, SAL|MOLE DE ADOBO|México Prehispánico (Antes de 1521)|Sopas y caldos
CHILAPITAS DE CEVICHE|GUERRERO|4|30|0|120|0|0|1|2|FILETE DE SIERRA, LIMON, NARANJA, OREGANO, JITOMATE, CEBOLLA, CHILE SERRANO, CILANTRO, ACEITE DE OLIVA, CHILAPITA, AGUACATE, CILANTRO, SAL|ANTOJITOS CON MAIZ|México Contemporáneo (1940 - Actualidad)|Pescados y mariscos
CHILATEQUILE DE CHILPANCINGO|GUERRERO|16|20|45|0|0|0|3|2|CHILE GUAJILLO, AJO, CEBOLLA, CALDO DE POLLO, CILANTRO, HIERBABUENA, SAL, CEBOLLA, CHILE VERDE, LIMON|MOLE DE CUCHARA|México Prehispánico (Antes de 1521)|Sopas y caldos
CHILATEQUILE DE GUERRERO|GUERRERO|16|20|45|0|0|0|3|2|CHILE ANCHO, CHILE GUAJILLO, TOMATE VERDE, CALDO DE POLLO, ELOTE, EJOTE, CALABAZA, SAL, CEBOLLA, LIMA|MOLE DE CUCHARA|México Prehispánico (Antes de 1521)|Sopas y caldos
CHILEAJO|OAXACA|8|20|30|0|0|0|1|1|AJO, CHILE CHILCOSTLE, VINAGRE BLANCO, PAPA, ZANAHORIA, EJOTE, COLIFLOR, CHICHARO, CEBOLLA, QUESO OAXACA, OREGANO, SAL|PLATOS PRINCIPALES CON VERDURAS|México Prehispánico (Antes de 1521)|Salsas y aderezos
CHILEATOLE DE FLOR DE CALABAZA|OAXACA|6|20|40|0|0|0|1|1|CALDO DE POLLO, ELOTE, MAIZ, CHILE COSTEÑO, CALABAZA, SAL|SOPA|México Prehispánico (Antes de 1521)|Sopas y caldos
CHILEATOLE DE HONGOS Y VERDOLAGAS|TLAXCALA|6|25|90|0|0|0|1|1|CERDO, CEBOLLA, AJO, JITOMATE, CHILE ANCHO, CHILE CHILTEPIN, HONGO, VERDOLAGA, EPAZOTE, MAIZ, SAL|SOPA|México Prehispánico (Antes de 1521)|Sopas y caldos
CHILES CAPONES RELLENOS|MICHOACAN|10|20|25|720|0|0|2|2|CHILE NEGRO, VINAGRE BLANCO, CEBOLLA, AJO, TOMATILLO, ACEITE, QUESO RANCHERO, JITOMATE, CREMA, CILANTRO, ACEITE DE OLIVA, SAL, PIMIENTA|PLATOS PRINCIPALES CON VERDURAS|Conquista y Virreinato (1521 – 1821)|Chiles rellenos
CHILES DE AGUA RELLENOS|OAXACA|5|40|40|0|0|0|2|2|ACEITE, CEBOLLA, AJO, JITOMATE, PAPA, RES, ACEITUNA, ALMENDRA, PASA, ACHIOTE|PLATOS PRINCIPALES CON PESCADOS Y MARISCOS|Conquista y Virreinato (1521 – 1821)|Chiles rellenos
CHILES EN NOGADA|PUEBLA|12|180|30|0|0|0|3|3|ACEITE, CEBOLLA, AJO, CERDO, JAMON DE PIERNA, JITOMATE, CALDO DE CERDO, AZAFRAN, CLAVO, COMINO, CANELA, MANZANA, PERA, DURAZNO, PASA, ALMENDRA, ACITRON, AZUCAR, JEREZ, NUEZ DE CASTILLA, QUESO, BOLILLO, LECHE, CHILE POBLANO, HUEVO, HARINA, GRANADA, PEREJIL|PLATOS PRINCIPALES CON CARNE ROJA|Conquista y Virreinato (1521 – 1821)|Chiles rellenos
